order_number,product_id,customer_id,order_date,quantity,price,shipping_date,due_date,sales_amount,store_id
SO50072,3471,10706,5/7/2023,5,785,5/9/2023,5/21/2023,3925,22
SO50073,3166,24237,5/13/2023,3,126,5/15/2023,5/27/2023,378,6
SO50074,518,21716,9/13/2023,3,364,9/15/2023,9/27/2023,1092,75
SO50075,3723,21825,12/28/2023,3,495,12/30/2023,1/11/2024,1485,90
SO50076,1719,24273,11/16/2023,3,277,11/18/2023,11/30/2023,831,99
SO50077,2643,12906,9/14/2023,4,742,9/16/2023,9/28/2023,2968,17
SO50078,5039,13252,1/13/2023,1,24,1/15/2023,1/27/2023,24,55
SO50079,2369,18155,3/13/2023,1,678,3/15/2023,3/27/2023,678,39
SO50080,2860,21165,8/3/2023,5,201,8/5/2023,8/17/2023,1005,26
SO50081,1758,15929,3/30/2023,4,318,4/1/2023,4/13/2023,1272,38
SO50082,1391,28645,6/27/2023,2,813,6/29/2023,7/11/2023,1626,29
SO50083,502,33364,11/20/2023,4,777,11/22/2023,12/4/2023,3108,98
SO50084,2115,10649,10/2/2023,5,459,10/4/2023,10/16/2023,2295,96
SO50085,4706,24812,5/23/2023,5,601,5/25/2023,6/6/2023,3005,80
SO50086,3452,29778,7/20/2023,5,425,7/22/2023,8/3/2023,2125,65
SO50087,2008,31056,11/18/2023,5,468,11/20/2023,12/2/2023,2340,77
SO50088,4219,17507,1/4/2023,1,631,1/6/2023,1/18/2023,631,72
SO50089,1053,14627,5/5/2023,2,947,5/7/2023,5/19/2023,1894,21
SO50090,3536,22905,8/4/2023,4,323,8/6/2023,8/18/2023,1292,61
SO50091,3667,30439,11/17/2023,4,872,11/19/2023,12/1/2023,3488,7
SO50092,2640,18825,10/17/2023,3,397,10/19/2023,10/31/2023,1191,32
SO50093,4517,19127,12/13/2023,2,398,12/15/2023,12/27/2023,796,81
SO50094,4452,29170,11/9/2023,4,937,11/11/2023,11/23/2023,3748,55
SO50095,2408,17113,7/21/2023,2,816,7/23/2023,8/4/2023,1632,11
SO50096,4767,24788,6/9/2023,4,789,6/11/2023,6/23/2023,3156,99
SO50097,3312,27654,8/31/2023,4,844,9/2/2023,9/14/2023,3376,46
SO50098,2323,20641,6/22/2023,5,301,6/24/2023,7/6/2023,1505,9
SO50099,3741,29242,10/19/2023,5,416,10/21/2023,11/2/2023,2080,48
SO50100,2825,32156,6/13/2023,1,67,6/15/2023,6/27/2023,67,6
SO50101,3414,30590,12/16/2023,2,673,12/18/2023,12/30/2023,1346,20
SO50102,3575,18103,8/21/2023,5,584,8/23/2023,9/4/2023,2920,32
SO50103,2959,27887,9/22/2023,1,115,9/24/2023,10/6/2023,115,3
SO50104,2826,20979,1/26/2023,3,280,1/28/2023,2/9/2023,840,80
SO50105,604,32884,8/25/2023,1,85,8/27/2023,9/8/2023,85,93
SO50106,4037,13441,12/23/2023,4,30,12/25/2023,1/6/2024,120,58
SO50107,1037,24529,10/7/2023,1,105,10/9/2023,10/21/2023,105,4
SO50108,3676,24810,11/14/2023,1,411,11/16/2023,11/28/2023,411,46
SO50109,4444,20168,1/5/2023,1,385,1/7/2023,1/19/2023,385,69
SO50110,3397,34552,6/15/2023,2,364,6/17/2023,6/29/2023,728,87
SO50111,1164,30910,9/20/2023,2,985,9/22/2023,10/4/2023,1970,6
SO50112,3475,20808,1/11/2023,3,136,1/13/2023,1/25/2023,408,9
SO50113,5227,30360,4/3/2023,4,50,4/5/2023,4/17/2023,200,91
SO50114,5191,34066,11/3/2023,3,670,11/5/2023,11/17/2023,2010,75
SO50115,1972,32388,11/13/2023,2,225,11/15/2023,11/27/2023,450,68
SO50116,4546,26934,9/15/2023,5,196,9/17/2023,9/29/2023,980,80
SO50117,4537,20360,8/28/2023,1,916,8/30/2023,9/11/2023,916,14
SO50118,665,28023,11/20/2023,5,628,11/22/2023,12/4/2023,3140,6
SO50119,2522,20750,6/29/2023,4,927,7/1/2023,7/13/2023,3708,91
SO50120,1463,26734,3/31/2023,1,492,4/2/2023,4/14/2023,492,42
SO50121,5031,19509,7/14/2023,5,254,7/16/2023,7/28/2023,1270,11
SO50122,3236,22682,5/18/2023,5,54,5/20/2023,6/1/2023,270,18
SO50123,2888,11787,11/12/2023,2,769,11/14/2023,11/26/2023,1538,79
SO50124,2162,32906,5/1/2023,4,223,5/3/2023,5/15/2023,892,84
SO50125,3906,18312,6/27/2023,4,336,6/29/2023,7/11/2023,1344,53
SO50126,832,11567,3/13/2023,2,143,3/15/2023,3/27/2023,286,34
SO50127,4181,34722,6/2/2023,3,485,6/4/2023,6/16/2023,1455,91
SO50128,506,21157,8/17/2023,5,461,8/19/2023,8/31/2023,2305,19
SO50129,669,34297,5/10/2023,4,35,5/12/2023,5/24/2023,140,14
SO50130,5492,21130,9/28/2023,3,796,9/30/2023,10/12/2023,2388,1
SO50131,4610,22042,7/23/2023,1,989,7/25/2023,8/6/2023,989,69
SO50132,5159,21030,5/7/2023,2,583,5/9/2023,5/21/2023,1166,62
SO50133,4238,10249,5/8/2023,4,726,5/10/2023,5/22/2023,2904,70
SO50134,4048,11858,12/14/2023,4,244,12/16/2023,12/28/2023,976,81
SO50135,3859,12668,1/14/2023,4,866,1/16/2023,1/28/2023,3464,77
SO50136,2724,17052,8/8/2023,1,905,8/10/2023,8/22/2023,905,24
SO50137,5102,29490,7/21/2023,3,902,7/23/2023,8/4/2023,2706,99
SO50138,1166,20676,8/15/2023,3,554,8/17/2023,8/29/2023,1662,87
SO50139,3368,33086,1/7/2023,3,236,1/9/2023,1/21/2023,708,42
SO50140,3845,23973,7/24/2023,5,418,7/26/2023,8/7/2023,2090,12
SO50141,5081,15322,1/9/2023,4,65,1/11/2023,1/23/2023,260,9
SO50142,5109,17508,4/19/2023,2,650,4/21/2023,5/3/2023,1300,85
SO50143,4958,27563,12/31/2023,4,906,1/2/2024,1/14/2024,3624,64
SO50144,824,10937,10/12/2023,5,265,10/14/2023,10/26/2023,1325,14
SO50145,4212,32344,1/29/2023,5,38,1/31/2023,2/12/2023,190,93
SO50146,5482,15178,6/6/2023,2,434,6/8/2023,6/20/2023,868,1
SO50147,3436,28557,7/24/2023,4,115,7/26/2023,8/7/2023,460,2
SO50148,999,31533,4/15/2023,1,70,4/17/2023,4/29/2023,70,10
SO50149,579,14527,4/2/2023,3,662,4/4/2023,4/16/2023,1986,47
SO50150,3727,26022,11/27/2023,1,825,11/29/2023,12/11/2023,825,24
SO50151,2468,11219,9/10/2023,3,80,9/12/2023,9/24/2023,240,100
SO50152,5094,18196,11/10/2023,4,509,11/12/2023,11/24/2023,2036,26
SO50153,4426,22310,3/10/2023,3,786,3/12/2023,3/24/2023,2358,17
SO50154,2695,10809,12/29/2023,2,432,12/31/2023,1/12/2024,864,83
SO50155,4790,26040,5/1/2023,5,269,5/3/2023,5/15/2023,1345,92
SO50156,4704,31147,5/25/2023,1,872,5/27/2023,6/8/2023,872,64
SO50157,1331,22491,6/9/2023,3,144,6/11/2023,6/23/2023,432,2
SO50158,4569,33725,5/30/2023,5,967,6/1/2023,6/13/2023,4835,49
SO50159,4401,12818,5/14/2023,4,208,5/16/2023,5/28/2023,832,66
SO50160,4748,21334,3/5/2023,3,214,3/7/2023,3/19/2023,642,90
SO50161,4933,29941,6/2/2023,4,400,6/4/2023,6/16/2023,1600,38
SO50162,4386,12560,9/14/2023,1,447,9/16/2023,9/28/2023,447,79
SO50163,2118,16351,11/21/2023,1,272,11/23/2023,12/5/2023,272,13
SO50164,2980,16420,11/1/2023,2,391,11/3/2023,11/15/2023,782,39
SO50165,2213,20388,11/12/2023,1,766,11/14/2023,11/26/2023,766,4
SO50166,2183,31333,11/12/2023,4,769,11/14/2023,11/26/2023,3076,44
SO50167,2954,32805,12/3/2023,2,43,12/5/2023,12/17/2023,86,58
SO50168,4576,24886,4/17/2023,2,540,4/19/2023,5/1/2023,1080,3
SO50169,1703,28773,1/29/2023,4,923,1/31/2023,2/12/2023,3692,65
SO50170,4209,18518,12/12/2023,1,745,12/14/2023,12/26/2023,745,44
SO50171,653,11379,2/9/2023,1,233,2/11/2023,2/23/2023,233,66
SO50172,3365,24478,12/10/2023,4,952,12/12/2023,12/24/2023,3808,74
SO50173,1351,18903,4/28/2023,3,161,4/30/2023,5/12/2023,483,39
SO50174,4951,17395,5/14/2023,1,678,5/16/2023,5/28/2023,678,63
SO50175,2306,33754,5/8/2023,1,999,5/10/2023,5/22/2023,999,22
SO50176,4063,16541,5/20/2023,1,951,5/22/2023,6/3/2023,951,88
SO50177,3303,15965,2/23/2023,3,774,2/25/2023,3/9/2023,2322,19
SO50178,4500,14781,1/29/2023,5,587,1/31/2023,2/12/2023,2935,11
SO50179,3724,33819,1/1/2024,1,348,1/3/2024,1/15/2024,348,80
SO50180,3627,14711,8/10/2023,2,688,8/12/2023,8/24/2023,1376,6
SO50181,2911,30885,4/11/2023,4,614,4/13/2023,4/25/2023,2456,44
SO50182,1581,27465,5/2/2023,5,148,5/4/2023,5/16/2023,740,52
SO50183,1450,33853,1/12/2023,4,196,1/14/2023,1/26/2023,784,21
SO50184,4374,28236,2/1/2023,1,642,2/3/2023,2/15/2023,642,57
SO50185,811,10712,10/8/2023,2,476,10/10/2023,10/22/2023,952,65
SO50186,2462,31160,5/16/2023,2,641,5/18/2023,5/30/2023,1282,92
SO50187,721,18884,2/27/2023,3,746,3/1/2023,3/13/2023,2238,84
SO50188,3616,26141,7/25/2023,5,340,7/27/2023,8/8/2023,1700,94
SO50189,3425,12608,1/17/2023,2,794,1/19/2023,1/31/2023,1588,27
SO50190,2295,14504,8/21/2023,3,769,8/23/2023,9/4/2023,2307,96
SO50191,4450,10269,3/20/2023,4,740,3/22/2023,4/3/2023,2960,69
SO50192,3715,24570,7/24/2023,5,744,7/26/2023,8/7/2023,3720,62
SO50193,3036,11981,7/10/2023,4,260,7/12/2023,7/24/2023,1040,43
SO50194,2664,13971,2/26/2023,3,295,2/28/2023,3/12/2023,885,28
SO50195,3483,12504,10/29/2023,4,402,10/31/2023,11/12/2023,1608,47
SO50196,5037,13674,9/1/2023,2,766,9/3/2023,9/15/2023,1532,84
SO50197,4363,30165,12/8/2023,3,602,12/10/2023,12/22/2023,1806,21
SO50198,3732,19270,12/1/2023,1,284,12/3/2023,12/15/2023,284,80
SO50199,995,33656,7/5/2023,4,574,7/7/2023,7/19/2023,2296,17
SO50200,1484,20225,5/23/2023,3,622,5/25/2023,6/6/2023,1866,53
SO50201,2536,14502,8/10/2023,5,967,8/12/2023,8/24/2023,4835,16
SO50202,2289,14096,1/25/2023,1,698,1/27/2023,2/8/2023,698,9
SO50203,1509,33078,10/19/2023,4,393,10/21/2023,11/2/2023,1572,67
SO50204,1996,10436,3/3/2023,1,640,3/5/2023,3/17/2023,640,21
SO50205,2071,14050,11/25/2023,1,310,11/27/2023,12/9/2023,310,10
SO50206,820,32043,11/4/2023,1,976,11/6/2023,11/18/2023,976,46
SO50207,907,33309,4/16/2023,2,398,4/18/2023,4/30/2023,796,6
SO50208,803,27499,5/7/2023,1,374,5/9/2023,5/21/2023,374,56
SO50209,4924,34264,11/21/2023,1,537,11/23/2023,12/5/2023,537,84
SO50210,2486,23944,12/31/2023,5,113,1/2/2024,1/14/2024,565,51
SO50211,4076,16200,9/3/2023,1,414,9/5/2023,9/17/2023,414,13
SO50212,2369,12905,5/24/2023,3,923,5/26/2023,6/7/2023,2769,33
SO50213,4223,18124,3/27/2023,3,796,3/29/2023,4/10/2023,2388,93
SO50214,3836,32694,6/27/2023,1,763,6/29/2023,7/11/2023,763,76
SO50215,5167,27150,3/25/2023,3,656,3/27/2023,4/8/2023,1968,40
SO50216,4262,15515,7/17/2023,4,994,7/19/2023,7/31/2023,3976,73
SO50217,1303,33991,10/16/2023,2,840,10/18/2023,10/30/2023,1680,83
SO50218,4099,12224,4/18/2023,1,799,4/20/2023,5/2/2023,799,87
SO50219,1699,33772,2/1/2023,2,911,2/3/2023,2/15/2023,1822,68
SO50220,4339,22392,11/29/2023,3,880,12/1/2023,12/13/2023,2640,35
SO50221,5041,24068,8/27/2023,3,49,8/29/2023,9/10/2023,147,91
SO50222,4717,16541,10/11/2023,4,47,10/13/2023,10/25/2023,188,87
SO50223,3449,17339,2/19/2023,5,547,2/21/2023,3/5/2023,2735,38
SO50224,3123,10280,3/30/2023,1,177,4/1/2023,4/13/2023,177,91
SO50225,3694,12350,6/9/2023,4,430,6/11/2023,6/23/2023,1720,12
SO50226,1712,32993,10/16/2023,2,233,10/18/2023,10/30/2023,466,15
SO50227,956,20551,10/23/2023,4,695,10/25/2023,11/6/2023,2780,74
SO50228,5072,11776,7/9/2023,5,981,7/11/2023,7/23/2023,4905,30
SO50229,3522,31617,7/13/2023,5,625,7/15/2023,7/27/2023,3125,41
SO50230,4746,12731,1/7/2023,1,401,1/9/2023,1/21/2023,401,39
SO50231,1086,32339,10/29/2023,4,851,10/31/2023,11/12/2023,3404,41
SO50232,698,28506,8/1/2023,4,900,8/3/2023,8/15/2023,3600,85
SO50233,5097,34671,12/12/2023,3,931,12/14/2023,12/26/2023,2793,56
SO50234,920,14377,1/10/2023,5,623,1/12/2023,1/24/2023,3115,22
SO50235,5421,23874,5/1/2023,2,994,5/3/2023,5/15/2023,1988,6
SO50236,5032,18558,2/11/2023,3,652,2/13/2023,2/25/2023,1956,30
SO50237,1489,14080,2/1/2023,5,815,2/3/2023,2/15/2023,4075,9
SO50238,2263,16806,6/20/2023,5,403,6/22/2023,7/4/2023,2015,27
SO50239,5241,26679,9/15/2023,5,153,9/17/2023,9/29/2023,765,57
SO50240,4977,31960,8/22/2023,4,997,8/24/2023,9/5/2023,3988,34
SO50241,818,28867,11/11/2023,5,226,11/13/2023,11/25/2023,1130,26
SO50242,1911,20082,4/11/2023,4,343,4/13/2023,4/25/2023,1372,73
SO50243,4511,34242,6/4/2023,2,688,6/6/2023,6/18/2023,1376,96
SO50244,1640,14033,10/24/2023,4,563,10/26/2023,11/7/2023,2252,19
SO50245,1728,34126,8/19/2023,3,72,8/21/2023,9/2/2023,216,11
SO50246,4511,27157,9/29/2023,3,327,10/1/2023,10/13/2023,981,31
SO50247,1333,29669,1/11/2023,4,44,1/13/2023,1/25/2023,176,61
SO50248,3115,30319,3/23/2023,3,272,3/25/2023,4/6/2023,816,17
SO50249,2413,16182,10/8/2023,3,675,10/10/2023,10/22/2023,2025,43
SO50250,3134,25525,4/13/2023,5,831,4/15/2023,4/27/2023,4155,18
SO50251,2323,26981,1/2/2023,2,501,1/4/2023,1/16/2023,1002,33
SO50252,4075,24994,5/11/2023,1,972,5/13/2023,5/25/2023,972,92
SO50253,1667,16631,3/13/2023,1,609,3/15/2023,3/27/2023,609,65
SO50254,4588,12389,5/27/2023,3,779,5/29/2023,6/10/2023,2337,62
SO50255,3563,33932,1/30/2023,3,451,2/1/2023,2/13/2023,1353,71
SO50256,4262,28473,7/24/2023,4,52,7/26/2023,8/7/2023,208,16
SO50257,2998,33899,2/3/2023,1,27,2/5/2023,2/17/2023,27,72
SO50258,1079,15813,2/8/2023,5,237,2/10/2023,2/22/2023,1185,19
SO50259,1665,11415,10/10/2023,3,414,10/12/2023,10/24/2023,1242,14
SO50260,2524,10951,9/24/2023,5,609,9/26/2023,10/8/2023,3045,74
SO50261,5479,20359,7/11/2023,4,439,7/13/2023,7/25/2023,1756,55
SO50262,2073,12214,4/1/2023,1,215,4/3/2023,4/15/2023,215,87
SO50263,3731,32342,12/1/2023,4,669,12/3/2023,12/15/2023,2676,100
SO50264,1739,19692,3/19/2023,3,362,3/21/2023,4/2/2023,1086,82
SO50265,1977,21776,8/9/2023,3,555,8/11/2023,8/23/2023,1665,1
SO50266,3722,28759,9/7/2023,5,368,9/9/2023,9/21/2023,1840,9
SO50267,5382,34765,9/20/2023,2,946,9/22/2023,10/4/2023,1892,95
SO50268,3553,32421,11/22/2023,4,47,11/24/2023,12/6/2023,188,96
SO50269,1071,20701,10/18/2023,1,936,10/20/2023,11/1/2023,936,2
SO50270,5255,18363,11/29/2023,3,635,12/1/2023,12/13/2023,1905,46
SO50271,3551,32129,7/25/2023,3,152,7/27/2023,8/8/2023,456,71
SO50272,3521,22203,10/3/2023,1,791,10/5/2023,10/17/2023,791,38
SO50273,2175,15670,2/4/2023,2,725,2/6/2023,2/18/2023,1450,18
SO50274,5359,28238,3/22/2023,2,508,3/24/2023,4/5/2023,1016,13
SO50275,4959,16354,2/26/2023,4,450,2/28/2023,3/12/2023,1800,11
SO50276,1117,23919,6/8/2023,4,700,6/10/2023,6/22/2023,2800,70
SO50277,4360,17698,10/23/2023,5,993,10/25/2023,11/6/2023,4965,42
SO50278,724,23198,1/14/2023,5,506,1/16/2023,1/28/2023,2530,20
SO50279,3170,10647,6/20/2023,4,683,6/22/2023,7/4/2023,2732,64
SO50280,745,27073,2/20/2023,4,226,2/22/2023,3/6/2023,904,19
SO50281,1733,33272,4/9/2023,4,37,4/11/2023,4/23/2023,148,72
SO50282,2383,27563,3/23/2023,3,886,3/25/2023,4/6/2023,2658,81
SO50283,3656,20220,2/8/2023,2,691,2/10/2023,2/22/2023,1382,40
SO50284,915,34283,12/16/2023,2,332,12/18/2023,12/30/2023,664,44
SO50285,1542,31728,5/29/2023,3,529,5/31/2023,6/12/2023,1587,62
SO50286,3537,16806,1/22/2023,1,383,1/24/2023,2/5/2023,383,47
SO50287,642,22453,2/2/2023,3,84,2/4/2023,2/16/2023,252,71
SO50288,4731,15823,12/28/2023,5,670,12/30/2023,1/11/2024,3350,91
SO50289,3354,20799,11/23/2023,3,673,11/25/2023,12/7/2023,2019,72
SO50290,3409,28967,10/21/2023,2,952,10/23/2023,11/4/2023,1904,89
SO50291,4636,11560,11/11/2023,4,223,11/13/2023,11/25/2023,892,94
SO50292,1160,25225,10/25/2023,1,440,10/27/2023,11/8/2023,440,43
SO50293,1834,25108,7/3/2023,4,954,7/5/2023,7/17/2023,3816,96
SO50294,1695,31996,8/14/2023,3,141,8/16/2023,8/28/2023,423,33
SO50295,4814,20657,1/7/2023,5,663,1/9/2023,1/21/2023,3315,58
SO50296,4266,31982,9/15/2023,5,981,9/17/2023,9/29/2023,4905,6
SO50297,4413,10060,10/24/2023,3,812,10/26/2023,11/7/2023,2436,10
SO50298,3732,33042,6/19/2023,4,595,6/21/2023,7/3/2023,2380,45
SO50299,4576,22293,3/19/2023,5,911,3/21/2023,4/2/2023,4555,36
SO50300,2850,16852,10/11/2023,3,129,10/13/2023,10/25/2023,387,68
SO50301,2806,14928,12/31/2023,3,235,1/2/2024,1/14/2024,705,34
SO50302,1407,32910,4/30/2023,2,815,5/2/2023,5/14/2023,1630,81
SO50303,2696,26660,5/24/2023,1,558,5/26/2023,6/7/2023,558,67
SO50304,3290,14743,10/22/2023,1,628,10/24/2023,11/5/2023,628,7
SO50305,5023,32782,9/30/2023,3,139,10/2/2023,10/14/2023,417,10
SO50306,5375,16107,5/15/2023,2,776,5/17/2023,5/29/2023,1552,46
SO50307,771,17518,7/27/2023,1,126,7/29/2023,8/10/2023,126,53
SO50308,5040,11322,12/20/2023,4,499,12/22/2023,1/3/2024,1996,26
SO50309,5127,34432,2/11/2023,4,990,2/13/2023,2/25/2023,3960,93
SO50310,989,19813,2/21/2023,4,655,2/23/2023,3/7/2023,2620,67
SO50311,3184,25667,7/8/2023,4,652,7/10/2023,7/22/2023,2608,79
SO50312,633,18264,3/20/2023,4,859,3/22/2023,4/3/2023,3436,64
SO50313,3416,16427,10/9/2023,5,871,10/11/2023,10/23/2023,4355,81
SO50314,4204,17874,3/23/2023,1,79,3/25/2023,4/6/2023,79,32
SO50315,3484,13785,4/5/2023,4,636,4/7/2023,4/19/2023,2544,77
SO50316,3817,19348,12/16/2023,1,893,12/18/2023,12/30/2023,893,52
SO50317,3177,28034,2/15/2023,1,184,2/17/2023,3/1/2023,184,65
SO50318,5465,17964,6/30/2023,4,638,7/2/2023,7/14/2023,2552,7
SO50319,1743,16691,4/11/2023,2,540,4/13/2023,4/25/2023,1080,58
SO50320,2739,34648,11/25/2023,2,786,11/27/2023,12/9/2023,1572,26
SO50321,2065,25917,6/19/2023,5,540,6/21/2023,7/3/2023,2700,100
SO50322,791,11954,2/16/2023,1,671,2/18/2023,3/2/2023,671,12
SO50323,1215,15151,11/10/2023,1,693,11/12/2023,11/24/2023,693,5
SO50324,736,17553,7/5/2023,2,834,7/7/2023,7/19/2023,1668,28
SO50325,3724,14704,11/26/2023,4,378,11/28/2023,12/10/2023,1512,79
SO50326,4175,25551,3/22/2023,5,568,3/24/2023,4/5/2023,2840,43
SO50327,3085,14609,3/3/2023,4,81,3/5/2023,3/17/2023,324,11
SO50328,5237,23721,5/25/2023,3,104,5/27/2023,6/8/2023,312,93
SO50329,627,25485,11/29/2023,2,787,12/1/2023,12/13/2023,1574,19
SO50330,4454,33339,12/30/2023,2,915,1/1/2024,1/13/2024,1830,96
SO50331,2982,34277,12/4/2023,3,404,12/6/2023,12/18/2023,1212,79
SO50332,1113,31963,3/30/2023,4,113,4/1/2023,4/13/2023,452,23
SO50333,4867,18040,4/11/2023,5,990,4/13/2023,4/25/2023,4950,59
SO50334,5104,12972,3/24/2023,5,105,3/26/2023,4/7/2023,525,60
SO50335,4696,28431,8/25/2023,3,91,8/27/2023,9/8/2023,273,44
SO50336,4508,20415,9/20/2023,4,236,9/22/2023,10/4/2023,944,98
SO50337,5087,19133,4/20/2023,2,754,4/22/2023,5/4/2023,1508,7
SO50338,1147,30913,8/18/2023,3,704,8/20/2023,9/1/2023,2112,97
SO50339,5079,23798,10/31/2023,5,65,11/2/2023,11/14/2023,325,85
SO50340,4222,30818,2/14/2023,1,524,2/16/2023,2/28/2023,524,94
SO50341,5345,11028,8/30/2023,5,695,9/1/2023,9/13/2023,3475,81
SO50342,3051,20657,9/20/2023,3,151,9/22/2023,10/4/2023,453,32
