return_id,order_number,return_date,return_reason,return_amount
80118,SO54817,12/6/2023,Size Mismatch,283
80119,SO51758,9/3/2023,Size Mismatch,310
80120,SO67185,11/20/2023,Size Mismatch,39
80121,SO53381,9/8/2023,Unsatisfied,226
80122,SO66450,2/2/2023,Size Mismatch,177
80123,SO76015,12/4/2023,Unsatisfied,97
80124,SO67364,9/5/2023,Size Mismatch,197
80125,SO50650,3/7/2023,Defective,144
80126,SO75553,3/3/2023,Unsatisfied,445
80127,SO56268,4/30/2023,Defective,303
80128,SO53156,3/30/2023,Size Mismatch,57
80129,SO66391,9/18/2023,Defective,219
80130,SO70397,4/15/2023,Size Mismatch,37
80131,SO77392,2/3/2023,Unsatisfied,423
80132,SO67698,9/22/2023,Size Mismatch,20
80133,SO79441,12/13/2023,Wrong Item,481
80134,SO64919,7/14/2023,Unsatisfied,356
80135,SO78722,3/28/2023,Defective,410
80136,SO79167,4/12/2023,Unsatisfied,499
80137,SO50267,7/23/2023,Unsatisfied,167
80138,SO72613,5/11/2023,Defective,36
80139,SO56746,6/18/2023,Unsatisfied,133
80140,SO71361,5/19/2023,Defective,248
80141,SO52303,11/28/2023,Defective,190
80142,SO72540,2/12/2023,Defective,42
80143,SO65465,7/29/2023,Size Mismatch,202
80144,SO65614,8/11/2023,Size Mismatch,284
80145,SO52048,5/24/2023,Size Mismatch,305
80146,SO58821,4/19/2023,Unsatisfied,434
80147,SO61278,8/11/2023,Size Mismatch,487
80148,SO72771,5/22/2023,Unsatisfied,124
80149,SO58295,12/10/2023,Unsatisfied,350
80150,SO61202,9/11/2023,Wrong Item,90
80151,SO72044,10/2/2023,Size Mismatch,343
80152,SO65236,8/22/2023,Defective,366
80153,SO52601,11/24/2023,Size Mismatch,135
80154,SO69335,2/2/2023,Size Mismatch,280
80155,SO51034,9/21/2023,Unsatisfied,429
80156,SO74163,3/10/2023,Unsatisfied,132
80157,SO66564,4/29/2023,Size Mismatch,92
80158,SO79072,12/23/2023,Defective,270
80159,SO69038,5/11/2023,Unsatisfied,339
80160,SO61332,3/8/2023,Size Mismatch,398
80161,SO58109,9/6/2023,Size Mismatch,318
80162,SO66274,11/9/2023,Size Mismatch,248
80163,SO61395,12/31/2023,Wrong Item,489
80164,SO58925,11/21/2023,Unsatisfied,129
80165,SO65430,3/7/2023,Unsatisfied,122
80166,SO55628,4/26/2023,Unsatisfied,108
80167,SO50881,2/16/2023,Wrong Item,54
80168,SO63003,10/26/2023,Defective,204
80169,SO56833,10/20/2023,Unsatisfied,464
80170,SO71826,11/19/2023,Size Mismatch,101
80171,SO72444,9/2/2023,Defective,360
80172,SO75586,6/23/2023,Size Mismatch,374
80173,SO66576,2/2/2023,Unsatisfied,303
80174,SO74603,9/6/2023,Defective,98
80175,SO50669,4/18/2023,Unsatisfied,87
80176,SO65911,5/5/2023,Wrong Item,289
80177,SO65492,5/21/2023,Size Mismatch,174
80178,SO74950,9/22/2023,Wrong Item,83
80179,SO78476,10/22/2023,Unsatisfied,327
80180,SO65685,8/21/2023,Unsatisfied,384
80181,SO53998,5/11/2023,Size Mismatch,489
80182,SO66559,5/27/2023,Size Mismatch,108
80183,SO56154,10/9/2023,Wrong Item,119
80184,SO64450,6/26/2023,Wrong Item,455
80185,SO55215,7/10/2023,Size Mismatch,263
80186,SO57604,9/24/2023,Size Mismatch,475
80187,SO66529,4/19/2023,Wrong Item,170
80188,SO70557,2/20/2023,Unsatisfied,312
80189,SO77919,4/27/2023,Wrong Item,21
80190,SO54099,11/16/2023,Wrong Item,75
80191,SO79666,9/12/2023,Unsatisfied,478
80192,SO60351,4/26/2023,Defective,274
80193,SO67705,2/20/2023,Defective,283
80194,SO73612,9/19/2023,Unsatisfied,217
80195,SO61867,2/11/2023,Size Mismatch,203
80196,SO76888,1/30/2023,Defective,192
80197,SO61751,3/28/2023,Defective,361
80198,SO72254,11/2/2023,Size Mismatch,210
80199,SO76663,2/24/2023,Defective,222
80200,SO73053,6/3/2023,Unsatisfied,115
80201,SO51776,9/3/2023,Unsatisfied,98
80202,SO71281,10/24/2023,Wrong Item,58
80203,SO69712,7/29/2023,Wrong Item,166
80204,SO57883,5/15/2023,Size Mismatch,98
80205,SO65424,8/20/2023,Size Mismatch,112
80206,SO64463,11/21/2023,Unsatisfied,475
80207,SO69646,4/13/2023,Size Mismatch,134
80208,SO76945,4/23/2023,Size Mismatch,262
80209,SO58043,7/21/2023,Size Mismatch,334
80210,SO66191,12/23/2023,Wrong Item,268
80211,SO76247,4/30/2023,Size Mismatch,116
80212,SO74910,11/4/2023,Size Mismatch,133
80213,SO73259,12/17/2023,Size Mismatch,32
80214,SO57141,7/25/2023,Defective,215
80215,SO64770,1/19/2023,Size Mismatch,369
80216,SO78087,3/25/2023,Unsatisfied,108
80217,SO73382,1/3/2023,Wrong Item,118
80218,SO66848,5/27/2023,Wrong Item,40
80219,SO76171,2/17/2023,Size Mismatch,297
80220,SO62210,1/8/2023,Unsatisfied,389
80221,SO72200,9/6/2023,Size Mismatch,361
80222,SO68892,1/7/2023,Wrong Item,228
80223,SO79485,6/23/2023,Size Mismatch,182
80224,SO64877,10/15/2023,Wrong Item,242
80225,SO62619,12/28/2023,Unsatisfied,153
80226,SO55368,4/9/2023,Wrong Item,203
80227,SO71042,2/1/2023,Unsatisfied,65
80228,SO75422,4/10/2023,Defective,97
80229,SO63534,3/14/2023,Size Mismatch,71
80230,SO67307,9/22/2023,Wrong Item,85
80231,SO70376,8/17/2023,Size Mismatch,210
80232,SO70021,7/1/2023,Wrong Item,183
80233,SO59352,9/12/2023,Unsatisfied,339
80234,SO73213,7/27/2023,Unsatisfied,191
80235,SO57037,6/22/2023,Defective,130
80236,SO51303,12/18/2023,Defective,475
80237,SO51834,7/25/2023,Size Mismatch,233
80238,SO56715,2/19/2023,Unsatisfied,49
80239,SO79649,7/25/2023,Wrong Item,240
80240,SO62926,8/29/2023,Size Mismatch,243
80241,SO51219,3/14/2023,Unsatisfied,489
80242,SO68930,2/6/2023,Wrong Item,409
80243,SO66582,10/11/2023,Size Mismatch,142
80244,SO59856,10/10/2023,Unsatisfied,366
80245,SO70169,12/6/2023,Defective,199
80246,SO62127,9/18/2023,Defective,195
80247,SO65203,5/21/2023,Unsatisfied,200
80248,SO72313,12/13/2023,Defective,351
80249,SO52379,8/20/2023,Defective,301
80250,SO50412,5/10/2023,Size Mismatch,363
80251,SO53555,2/11/2023,Defective,127
80252,SO50967,10/9/2023,Wrong Item,142
80253,SO71050,11/10/2023,Size Mismatch,163
80254,SO70768,3/10/2023,Wrong Item,109
80255,SO63369,6/11/2023,Size Mismatch,353
80256,SO56639,2/27/2023,Unsatisfied,194
80257,SO69264,3/30/2023,Size Mismatch,389
80258,SO57650,2/26/2023,Unsatisfied,93
80259,SO64542,1/5/2023,Defective,28
80260,SO72105,3/26/2023,Unsatisfied,321
80261,SO60436,1/22/2023,Defective,41
80262,SO56481,11/19/2023,Size Mismatch,65
80263,SO61489,7/13/2023,Unsatisfied,155
80264,SO79281,9/4/2023,Defective,417
80265,SO70331,5/22/2023,Defective,144
80266,SO77974,5/22/2023,Size Mismatch,334
80267,SO66607,9/13/2023,Unsatisfied,460
80268,SO67283,12/18/2023,Unsatisfied,247
80269,SO63990,4/7/2023,Defective,258
80270,SO52936,5/3/2023,Unsatisfied,313
80271,SO54045,9/16/2023,Defective,87
80272,SO58062,4/21/2023,Defective,464
80273,SO59428,12/19/2023,Defective,160
80274,SO76100,1/1/2023,Wrong Item,168
80275,SO52377,1/28/2023,Size Mismatch,159
80276,SO65262,1/3/2023,Size Mismatch,104
80277,SO75242,12/27/2023,Unsatisfied,127
80278,SO50658,12/12/2023,Unsatisfied,296
80279,SO65264,4/13/2023,Wrong Item,270
80280,SO61561,11/12/2023,Defective,69
80281,SO70223,8/4/2023,Size Mismatch,376
80282,SO55504,4/18/2023,Size Mismatch,28
80283,SO54505,2/27/2023,Size Mismatch,123
80284,SO76198,5/2/2023,Unsatisfied,89
80285,SO70978,8/28/2023,Wrong Item,479
80286,SO76525,3/30/2023,Unsatisfied,144
80287,SO65805,7/25/2023,Size Mismatch,273
80288,SO52380,9/11/2023,Unsatisfied,149
80289,SO54080,3/3/2023,Unsatisfied,146
80290,SO61187,2/17/2023,Defective,433
80291,SO58312,9/18/2023,Unsatisfied,367
80292,SO65367,8/30/2023,Size Mismatch,341
80293,SO66336,8/6/2023,Size Mismatch,247
80294,SO77247,7/24/2023,Unsatisfied,351
80295,SO50150,2/18/2023,Wrong Item,113
80296,SO71911,6/21/2023,Size Mismatch,24
80297,SO55723,9/4/2023,Unsatisfied,213
80298,SO73481,4/27/2023,Unsatisfied,286
80299,SO69883,4/24/2023,Unsatisfied,112
80300,SO78797,11/18/2023,Defective,174
80301,SO51936,3/13/2023,Unsatisfied,76
80302,SO50747,7/14/2023,Size Mismatch,463
80303,SO76140,1/12/2023,Wrong Item,70
80304,SO56836,9/27/2023,Unsatisfied,233
80305,SO61596,9/10/2023,Unsatisfied,340
80306,SO78088,3/14/2023,Wrong Item,123
80307,SO57130,4/27/2023,Defective,317
80308,SO65537,11/9/2023,Unsatisfied,166
80309,SO76840,2/10/2023,Unsatisfied,318
80310,SO64220,9/30/2023,Unsatisfied,464
80311,SO64037,11/13/2023,Defective,148
80312,SO60588,12/10/2023,Unsatisfied,380
80313,SO54874,3/13/2023,Unsatisfied,320
80314,SO54702,1/2/2023,Size Mismatch,416
80315,SO72638,7/5/2023,Size Mismatch,443
80316,SO54874,11/28/2023,Size Mismatch,468
80317,SO70805,10/29/2023,Wrong Item,190
80318,SO68036,8/30/2023,Size Mismatch,135
80319,SO53104,9/18/2023,Defective,165
80320,SO72815,10/17/2023,Unsatisfied,285
80321,SO53970,8/15/2023,Wrong Item,381
80322,SO65774,7/10/2023,Wrong Item,408
80323,SO52287,12/1/2023,Defective,251
80324,SO68157,6/15/2023,Wrong Item,199
80325,SO50203,9/29/2023,Defective,419
80326,SO74435,4/15/2023,Unsatisfied,113
80327,SO71610,9/3/2023,Size Mismatch,300
80328,SO60485,9/20/2023,Size Mismatch,319
80329,SO73319,6/17/2023,Size Mismatch,455
80330,SO70667,9/28/2023,Wrong Item,325
80331,SO77693,4/19/2023,Wrong Item,175
80332,SO57738,11/14/2023,Defective,208
80333,SO53318,12/15/2023,Unsatisfied,308
80334,SO59916,8/13/2023,Defective,286
80335,SO70586,12/7/2023,Size Mismatch,133
80336,SO59978,4/29/2023,Defective,139
80337,SO63584,2/15/2023,Defective,480
80338,SO67117,3/31/2023,Wrong Item,364
80339,SO77361,5/15/2023,Size Mismatch,87
80340,SO55284,8/30/2023,Defective,437
80341,SO61139,6/9/2023,Wrong Item,285
80342,SO73680,9/19/2023,Unsatisfied,84
80343,SO55744,2/15/2023,Defective,63
80344,SO50439,10/25/2023,Wrong Item,223
80345,SO55641,10/24/2023,Wrong Item,139
80346,SO63859,9/20/2023,Size Mismatch,205
80347,SO51559,12/20/2023,Size Mismatch,309
80348,SO56605,6/14/2023,Defective,123
80349,SO75316,8/26/2023,Wrong Item,328
80350,SO53714,4/3/2023,Wrong Item,23
80351,SO68687,2/27/2023,Size Mismatch,467
80352,SO50685,3/31/2023,Defective,143
80353,SO78693,8/27/2023,Wrong Item,222
80354,SO60326,7/24/2023,Defective,225
80355,SO66209,7/25/2023,Wrong Item,363
80356,SO68240,12/7/2023,Size Mismatch,435
80357,SO76296,3/27/2023,Wrong Item,458
80358,SO77274,9/13/2023,Unsatisfied,230
80359,SO71103,2/25/2023,Defective,306
80360,SO54653,6/27/2023,Wrong Item,76
80361,SO52338,5/23/2023,Unsatisfied,330
80362,SO73137,11/12/2023,Defective,99
80363,SO60478,2/24/2023,Defective,491
80364,SO62774,6/15/2023,Wrong Item,244
80365,SO55387,12/9/2023,Unsatisfied,127
80366,SO67594,7/27/2023,Wrong Item,383
80367,SO59277,11/7/2023,Wrong Item,413
80368,SO76294,12/21/2023,Unsatisfied,222
80369,SO64016,9/15/2023,Wrong Item,246
80370,SO62876,10/7/2023,Size Mismatch,73
80371,SO71035,11/11/2023,Unsatisfied,66
80372,SO69666,12/29/2023,Size Mismatch,439
80373,SO62655,4/15/2023,Wrong Item,82
80374,SO52795,3/9/2023,Defective,183
80375,SO51354,11/9/2023,Wrong Item,449
80376,SO68444,8/8/2023,Wrong Item,435
80377,SO53414,10/25/2023,Size Mismatch,293
80378,SO73063,10/13/2023,Size Mismatch,180
80379,SO58194,6/22/2023,Unsatisfied,489
80380,SO63614,8/19/2023,Size Mismatch,179
80381,SO54317,9/9/2023,Wrong Item,346
80382,SO65891,4/1/2023,Wrong Item,167
80383,SO67559,4/3/2023,Wrong Item,304
80384,SO65817,3/24/2023,Unsatisfied,174
80385,SO79444,10/31/2023,Size Mismatch,241
80386,SO50211,5/6/2023,Defective,49
80387,SO51209,2/9/2023,Wrong Item,183
80388,SO72199,9/24/2023,Unsatisfied,302
80389,SO50192,7/16/2023,Wrong Item,374
80390,SO70328,11/17/2023,Defective,470
80391,SO65863,6/10/2023,Size Mismatch,310
80392,SO54173,2/13/2023,Size Mismatch,266
80393,SO77831,8/30/2023,Size Mismatch,249
80394,SO65975,3/14/2023,Wrong Item,260
80395,SO51755,6/23/2023,Size Mismatch,20
80396,SO74117,4/4/2023,Defective,216
80397,SO63026,3/22/2023,Unsatisfied,429
80398,SO70651,6/30/2023,Unsatisfied,167
80399,SO54510,10/11/2023,Wrong Item,359
80400,SO76072,6/30/2023,Wrong Item,309
80401,SO51949,5/20/2023,Size Mismatch,442
80402,SO65794,5/2/2023,Unsatisfied,271
80403,SO65198,2/11/2023,Defective,318
80404,SO61450,12/31/2023,Defective,214
80405,SO76180,4/23/2023,Wrong Item,195
80406,SO50931,1/3/2023,Unsatisfied,266
80407,SO53036,11/13/2023,Size Mismatch,47
80408,SO79122,7/24/2023,Unsatisfied,458
80409,SO71611,4/19/2023,Defective,365
80410,SO51026,12/2/2023,Unsatisfied,195
80411,SO66106,9/26/2023,Defective,489
80412,SO77745,8/27/2023,Wrong Item,93
80413,SO62566,5/9/2023,Defective,315
80414,SO54923,9/12/2023,Defective,206
80415,SO58960,1/24/2023,Wrong Item,471
80416,SO68682,3/22/2023,Unsatisfied,297
80417,SO73797,5/4/2023,Defective,204
80418,SO72901,5/22/2023,Wrong Item,456
80419,SO50377,5/27/2023,Size Mismatch,162
80420,SO53595,1/12/2023,Wrong Item,476
80421,SO62669,12/13/2023,Wrong Item,67
80422,SO52701,11/26/2023,Size Mismatch,180
80423,SO78325,12/3/2023,Defective,411
80424,SO67324,8/10/2023,Unsatisfied,342
80425,SO53645,8/23/2023,Wrong Item,102
80426,SO68047,9/13/2023,Defective,324
80427,SO52636,4/30/2023,Defective,413
80428,SO58237,2/11/2023,Size Mismatch,500
80429,SO54956,11/9/2023,Size Mismatch,303
80430,SO72632,11/6/2023,Wrong Item,372
80431,SO55379,8/8/2023,Unsatisfied,47
80432,SO77581,11/23/2023,Defective,412
80433,SO63180,9/30/2023,Defective,260
80434,SO72418,8/14/2023,Wrong Item,375
80435,SO54859,6/27/2023,Unsatisfied,179
80436,SO63028,11/14/2023,Size Mismatch,182
80437,SO60064,2/13/2023,Wrong Item,220
80438,SO70995,5/30/2023,Defective,301
80439,SO78230,1/1/2024,Unsatisfied,280
80440,SO67902,12/17/2023,Unsatisfied,345
80441,SO65313,4/23/2023,Defective,331
80442,SO73873,3/11/2023,Wrong Item,275
80443,SO66901,11/28/2023,Defective,163
80444,SO77787,3/12/2023,Unsatisfied,299
80445,SO77168,6/30/2023,Wrong Item,308
80446,SO55602,3/11/2023,Wrong Item,395
80447,SO65200,7/18/2023,Size Mismatch,66
80448,SO52818,1/27/2023,Wrong Item,100
80449,SO75960,3/20/2023,Wrong Item,288
80450,SO79090,1/5/2023,Wrong Item,85
80451,SO79285,11/9/2023,Wrong Item,345
80452,SO56594,8/28/2023,Size Mismatch,125
80453,SO71098,8/21/2023,Defective,219
80454,SO79355,6/27/2023,Size Mismatch,173
80455,SO53564,8/12/2023,Wrong Item,39
80456,SO55396,1/31/2023,Size Mismatch,68
80457,SO64901,10/9/2023,Size Mismatch,346
80458,SO72154,10/28/2023,Unsatisfied,380
80459,SO67371,12/1/2023,Unsatisfied,271
80460,SO78963,8/15/2023,Defective,281
80461,SO79093,6/24/2023,Wrong Item,406
80462,SO63051,8/28/2023,Unsatisfied,456
80463,SO75530,5/19/2023,Unsatisfied,237
80464,SO56577,1/26/2023,Defective,475
80465,SO78739,7/26/2023,Wrong Item,75
80466,SO65541,12/9/2023,Wrong Item,98
80467,SO74419,3/15/2023,Unsatisfied,430
80468,SO56474,3/16/2023,Unsatisfied,308
80469,SO55830,1/3/2023,Wrong Item,58
80470,SO71262,6/8/2023,Defective,392
80471,SO54842,1/7/2023,Wrong Item,486
80472,SO69547,3/12/2023,Wrong Item,136
80473,SO61008,2/28/2023,Defective,179
80474,SO75495,5/20/2023,Unsatisfied,143
80475,SO75380,12/7/2023,Unsatisfied,317
80476,SO74392,11/6/2023,Unsatisfied,480
80477,SO63481,6/7/2023,Defective,211
80478,SO74049,11/21/2023,Defective,463
80479,SO67440,2/15/2023,Size Mismatch,411
80480,SO56657,1/16/2023,Size Mismatch,180
80481,SO76921,7/5/2023,Wrong Item,425
80482,SO57292,11/23/2023,Defective,232
80483,SO76725,4/4/2023,Wrong Item,316
80484,SO73822,5/12/2023,Unsatisfied,455
80485,SO75878,2/2/2023,Size Mismatch,318
80486,SO74205,6/30/2023,Size Mismatch,490
80487,SO61207,4/10/2023,Unsatisfied,373
80488,SO56345,3/25/2023,Wrong Item,363
80489,SO70713,6/30/2023,Unsatisfied,201
80490,SO61641,6/5/2023,Defective,427
80491,SO62789,12/20/2023,Wrong Item,470
80492,SO53670,3/23/2023,Wrong Item,414
80493,SO64071,2/20/2023,Unsatisfied,424
80494,SO54012,9/6/2023,Wrong Item,30
80495,SO75294,4/29/2023,Defective,373
80496,SO71923,11/25/2023,Size Mismatch,321
80497,SO78482,9/16/2023,Size Mismatch,169
80498,SO60086,11/3/2023,Wrong Item,408
80499,SO54205,8/13/2023,Defective,113
80500,SO53490,9/21/2023,Defective,177
80501,SO75994,10/27/2023,Unsatisfied,200
80502,SO68652,12/10/2023,Size Mismatch,371
80503,SO59600,6/23/2023,Size Mismatch,53
80504,SO67568,2/21/2023,Defective,433
80505,SO52620,5/31/2023,Defective,206
80506,SO76496,9/2/2023,Size Mismatch,105
80507,SO55858,10/22/2023,Wrong Item,180
80508,SO60128,8/27/2023,Size Mismatch,419
80509,SO60439,10/7/2023,Defective,495
80510,SO71719,7/21/2023,Defective,330
80511,SO76415,1/28/2023,Size Mismatch,299
80512,SO53983,1/25/2023,Unsatisfied,426
80513,SO74283,7/9/2023,Wrong Item,435
80514,SO78812,9/11/2023,Wrong Item,497
80515,SO63827,1/1/2024,Size Mismatch,483
80516,SO55533,4/19/2023,Unsatisfied,167
80517,SO74600,7/27/2023,Size Mismatch,368
80518,SO71065,9/3/2023,Wrong Item,391
80519,SO50368,12/2/2023,Defective,414
80520,SO62485,9/14/2023,Size Mismatch,143
80521,SO57921,12/16/2023,Wrong Item,464
80522,SO57743,5/6/2023,Size Mismatch,355
80523,SO50508,12/23/2023,Defective,483
80524,SO60605,4/18/2023,Unsatisfied,143
80525,SO65028,11/23/2023,Unsatisfied,243
80526,SO70338,4/6/2023,Wrong Item,151
80527,SO74406,11/10/2023,Wrong Item,135
80528,SO62096,12/7/2023,Unsatisfied,365
80529,SO54389,6/14/2023,Size Mismatch,450
80530,SO56753,3/5/2023,Defective,324
80531,SO59851,3/10/2023,Size Mismatch,407
80532,SO50715,1/13/2023,Unsatisfied,75
80533,SO50429,9/16/2023,Defective,495
80534,SO65037,6/4/2023,Size Mismatch,323
80535,SO53206,3/18/2023,Unsatisfied,449
80536,SO63066,12/9/2023,Defective,107
80537,SO68206,2/16/2023,Defective,22
80538,SO56446,1/18/2023,Size Mismatch,476
80539,SO51062,2/22/2023,Defective,381
80540,SO58546,8/24/2023,Size Mismatch,461
80541,SO72793,4/21/2023,Size Mismatch,103
80542,SO63727,2/13/2023,Size Mismatch,304
80543,SO75932,12/4/2023,Size Mismatch,56
80544,SO72368,8/26/2023,Size Mismatch,397
80545,SO62346,12/26/2023,Defective,471
80546,SO61226,10/6/2023,Unsatisfied,165
80547,SO55651,12/19/2023,Wrong Item,494
80548,SO60499,10/19/2023,Unsatisfied,328
80549,SO77493,7/16/2023,Size Mismatch,198
80550,SO63793,2/5/2023,Defective,388
80551,SO60660,2/10/2023,Wrong Item,379
80552,SO63823,7/22/2023,Size Mismatch,492
80553,SO50659,12/1/2023,Size Mismatch,110
80554,SO54460,12/13/2023,Wrong Item,149
80555,SO59151,8/26/2023,Wrong Item,411
80556,SO50294,11/14/2023,Defective,360
80557,SO66972,7/19/2023,Unsatisfied,331
80558,SO71737,9/25/2023,Defective,224
80559,SO59385,1/27/2023,Wrong Item,161
80560,SO71122,7/29/2023,Wrong Item,231
80561,SO68690,6/18/2023,Wrong Item,382
80562,SO51353,3/24/2023,Defective,41
80563,SO65403,12/22/2023,Unsatisfied,495
80564,SO74355,8/11/2023,Defective,183
80565,SO59062,11/4/2023,Size Mismatch,303
80566,SO68062,6/29/2023,Wrong Item,481
80567,SO79206,3/2/2023,Wrong Item,349
80568,SO51596,1/26/2023,Size Mismatch,293
80569,SO52478,7/4/2023,Defective,129
80570,SO58652,1/28/2023,Unsatisfied,215
80571,SO75683,3/10/2023,Defective,121
80572,SO65807,2/7/2023,Size Mismatch,108
80573,SO67735,5/15/2023,Unsatisfied,415
80574,SO68797,8/2/2023,Defective,289
80575,SO60920,1/9/2023,Size Mismatch,203
80576,SO65265,6/17/2023,Size Mismatch,497
80577,SO61474,5/30/2023,Defective,234
80578,SO76705,6/21/2023,Size Mismatch,55
80579,SO62416,2/18/2023,Defective,91
80580,SO56720,4/12/2023,Size Mismatch,399
80581,SO67924,6/20/2023,Wrong Item,330
80582,SO56740,7/24/2023,Unsatisfied,84
80583,SO68812,6/25/2023,Size Mismatch,251
80584,SO63807,7/27/2023,Unsatisfied,494
