product_id,subcategory,maintenance_required,product_line
612,Road Bikes,No,Mountain
613,Tires,No,Touring
614,Mountain Bikes,No,Road
615,Mountain Bikes,Yes,Mountain
616,Tires,Yes,Road
617,Mountain Bikes,Yes,Mountain
618,Tires,No,Mountain
619,Jerseys,No,Touring
620,Road Bikes,Yes,Mountain
621,Mountain Bikes,No,Touring
622,Tires,Yes,Road
623,Mountain Bikes,No,Mountain
624,Jerseys,No,Standard
625,Tires,Yes,Road
626,Helmets,No,Touring
627,Helmets,No,Standard
628,Jerseys,Yes,Touring
629,Jerseys,Yes,Touring
630,Jerseys,Yes,Mountain
631,Jerseys,Yes,Road
632,Tires,Yes,Standard
633,Mountain Bikes,Yes,Road
634,Helmets,Yes,Touring
635,Tires,No,Standard
636,Mountain Bikes,No,Standard
637,Mountain Bikes,No,Mountain
638,Helmets,No,Mountain
639,Road Bikes,No,Road
640,Tires,No,Touring
641,Helmets,Yes,Touring
642,Road Bikes,No,Standard
643,Mountain Bikes,No,Road
644,Road Bikes,No,Standard
645,Road Bikes,Yes,Touring
646,Road Bikes,Yes,Standard
647,Helmets,No,Road
648,Helmets,No,Touring
649,Road Bikes,No,Touring
650,Mountain Bikes,Yes,Mountain
651,Mountain Bikes,Yes,Road
652,Tires,No,Mountain
653,Helmets,Yes,Mountain
654,Road Bikes,No,Touring
655,Jerseys,No,Mountain
656,Road Bikes,Yes,Standard
657,Tires,No,Touring
658,Jerseys,Yes,Standard
659,Helmets,Yes,Mountain
660,Helmets,No,Touring
661,Jerseys,No,Mountain
662,Helmets,Yes,Road
663,Tires,Yes,Mountain
664,Mountain Bikes,No,Road
665,Tires,Yes,Touring
666,Jerseys,No,Standard
667,Jerseys,No,Standard
668,Road Bikes,Yes,Standard
669,Helmets,No,Mountain
670,Road Bikes,Yes,Mountain
671,Mountain Bikes,Yes,Mountain
672,Road Bikes,Yes,Road
673,Tires,Yes,Touring
674,Road Bikes,No,Road
675,Road Bikes,No,Touring
676,Helmets,Yes,Touring
677,Helmets,No,Touring
678,Jerseys,Yes,Mountain
679,Helmets,Yes,Standard
680,Jerseys,No,Road
681,Helmets,No,Mountain
682,Jerseys,No,Standard
683,Road Bikes,Yes,Standard
684,Mountain Bikes,No,Mountain
685,Mountain Bikes,Yes,Touring
686,Helmets,No,Mountain
687,Tires,No,Road
688,Tires,Yes,Touring
689,Road Bikes,Yes,Mountain
690,Road Bikes,Yes,Touring
691,Jerseys,No,Standard
692,Tires,No,Road
693,Road Bikes,No,Road
694,Tires,No,Road
695,Helmets,No,Touring
696,Helmets,Yes,Road
697,Tires,Yes,Standard
698,Jerseys,Yes,Touring
699,Tires,Yes,Touring
700,Jerseys,No,Mountain
701,Jerseys,Yes,Road
702,Mountain Bikes,No,Road
703,Helmets,Yes,Mountain
704,Tires,No,Touring
705,Mountain Bikes,Yes,Standard
706,Tires,No,Touring
707,Helmets,Yes,Mountain
708,Road Bikes,No,Touring
709,Road Bikes,Yes,Standard
710,Jerseys,Yes,Touring
711,Helmets,Yes,Touring
712,Jerseys,Yes,Mountain
713,Helmets,No,Standard
714,Tires,Yes,Mountain
715,Road Bikes,No,Mountain
716,Helmets,Yes,Road
717,Jerseys,No,Road
718,Mountain Bikes,Yes,Road
719,Tires,Yes,Standard
720,Road Bikes,Yes,Road
721,Road Bikes,No,Touring
722,Jerseys,No,Standard
723,Road Bikes,Yes,Touring
724,Road Bikes,Yes,Mountain
725,Jerseys,Yes,Standard
726,Jerseys,No,Road
727,Jerseys,Yes,Mountain
728,Road Bikes,No,Touring
729,Jerseys,No,Standard
730,Helmets,Yes,Road
731,Helmets,Yes,Mountain
732,Mountain Bikes,Yes,Touring
733,Tires,Yes,Mountain
734,Mountain Bikes,No,Mountain
735,Mountain Bikes,Yes,Mountain
736,Tires,No,Road
737,Jerseys,No,Touring
738,Mountain Bikes,No,Mountain
739,Road Bikes,No,Standard
740,Mountain Bikes,Yes,Standard
741,Mountain Bikes,No,Touring
742,Jerseys,No,Standard
743,Jerseys,No,Mountain
744,Jerseys,No,Mountain
745,Road Bikes,Yes,Road
746,Tires,No,Touring
747,Road Bikes,No,Standard
748,Helmets,No,Mountain
749,Mountain Bikes,No,Touring
750,Road Bikes,Yes,Touring
751,Mountain Bikes,No,Standard
752,Helmets,Yes,Road
753,Road Bikes,No,Touring
754,Mountain Bikes,No,Standard
755,Mountain Bikes,No,Road
756,Tires,No,Standard
757,Tires,Yes,Touring
758,Mountain Bikes,Yes,Mountain
759,Helmets,No,Mountain
760,Helmets,No,Standard
761,Road Bikes,No,Road
762,Jerseys,Yes,Standard
763,Helmets,No,Road
764,Jerseys,Yes,Mountain
765,Helmets,Yes,Mountain
766,Jerseys,No,Standard
767,Helmets,No,Touring
768,Helmets,Yes,Mountain
769,Jerseys,Yes,Road
770,Helmets,No,Road
771,Tires,Yes,Standard
772,Mountain Bikes,No,Road
773,Road Bikes,No,Road
774,Mountain Bikes,Yes,Road
775,Mountain Bikes,No,Touring
776,Tires,No,Mountain
777,Jerseys,No,Standard
778,Mountain Bikes,Yes,Standard
779,Helmets,Yes,Road
780,Helmets,Yes,Touring
781,Tires,Yes,Road
782,Mountain Bikes,No,Standard
783,Road Bikes,No,Mountain
784,Road Bikes,Yes,Mountain
785,Mountain Bikes,No,Standard
786,Jerseys,Yes,Standard
787,Tires,Yes,Road
788,Road Bikes,Yes,Mountain
789,Jerseys,No,Touring
790,Jerseys,Yes,Touring
791,Jerseys,Yes,Touring
792,Mountain Bikes,No,Road
793,Road Bikes,Yes,Touring
794,Road Bikes,No,Road
795,Helmets,Yes,Standard
796,Mountain Bikes,Yes,Touring
797,Road Bikes,No,Road
798,Road Bikes,Yes,Mountain
799,Road Bikes,No,Mountain
800,Road Bikes,Yes,Road
801,Tires,No,Standard
802,Road Bikes,No,Road
803,Jerseys,Yes,Standard
804,Helmets,Yes,Touring
805,Tires,Yes,Standard
806,Helmets,No,Touring
807,Jerseys,No,Road
808,Road Bikes,No,Standard
809,Helmets,Yes,Standard
810,Road Bikes,Yes,Touring
811,Tires,Yes,Standard
812,Road Bikes,Yes,Road
813,Tires,Yes,Road
814,Mountain Bikes,Yes,Standard
815,Jerseys,Yes,Mountain
816,Jerseys,Yes,Road
817,Tires,No,Road
818,Jerseys,Yes,Road
819,Jerseys,Yes,Road
820,Mountain Bikes,Yes,Standard
821,Helmets,Yes,Standard
822,Mountain Bikes,Yes,Touring
823,Tires,Yes,Standard
824,Mountain Bikes,No,Road
825,Jerseys,Yes,Touring
826,Helmets,Yes,Mountain
827,Helmets,No,Standard
828,Mountain Bikes,Yes,Standard
829,Tires,No,Road
830,Helmets,Yes,Mountain
831,Mountain Bikes,No,Touring
832,Road Bikes,No,Road
833,Helmets,No,Road
834,Helmets,No,Mountain
835,Tires,Yes,Standard
836,Helmets,Yes,Mountain
837,Road Bikes,No,Touring
838,Tires,No,Mountain
839,Tires,No,Mountain
840,Mountain Bikes,No,Touring
841,Jerseys,No,Mountain
842,Tires,No,Standard
843,Helmets,No,Touring
844,Tires,Yes,Standard
845,Tires,No,Road
846,Jerseys,Yes,Mountain
847,Road Bikes,No,Road
848,Helmets,Yes,Standard
849,Helmets,No,Standard
850,Road Bikes,No,Road
851,Road Bikes,Yes,Mountain
852,Road Bikes,Yes,Touring
853,Tires,No,Touring
854,Jerseys,Yes,Road
855,Jerseys,Yes,Standard
856,Jerseys,Yes,Mountain
857,Tires,Yes,Mountain
858,Tires,Yes,Touring
859,Helmets,Yes,Mountain
860,Mountain Bikes,Yes,Standard
861,Jerseys,No,Standard
862,Mountain Bikes,No,Mountain
863,Helmets,Yes,Touring
864,Jerseys,No,Touring
865,Jerseys,Yes,Road
866,Mountain Bikes,No,Touring
867,Jerseys,Yes,Standard
868,Jerseys,Yes,Road
869,Helmets,No,Standard
870,Tires,Yes,Road
871,Tires,Yes,Standard
872,Helmets,No,Standard
873,Road Bikes,Yes,Road
874,Mountain Bikes,No,Mountain
875,Road Bikes,Yes,Road
876,Helmets,Yes,Road
877,Mountain Bikes,Yes,Mountain
878,Mountain Bikes,Yes,Touring
879,Tires,No,Road
880,Road Bikes,No,Road
881,Mountain Bikes,Yes,Standard
882,Road Bikes,No,Mountain
883,Mountain Bikes,Yes,Mountain
884,Jerseys,No,Standard
885,Mountain Bikes,No,Mountain
886,Jerseys,Yes,Standard
887,Mountain Bikes,No,Mountain
888,Jerseys,Yes,Touring
889,Helmets,Yes,Touring
890,Helmets,Yes,Road
891,Road Bikes,No,Mountain
892,Road Bikes,Yes,Standard
893,Jerseys,No,Standard
894,Road Bikes,Yes,Standard
895,Road Bikes,No,Mountain
896,Jerseys,No,Standard
897,Tires,No,Touring
898,Mountain Bikes,Yes,Mountain
899,Mountain Bikes,No,Road
900,Helmets,Yes,Mountain
901,Road Bikes,Yes,Standard
902,Road Bikes,No,Standard
903,Jerseys,No,Road
904,Mountain Bikes,Yes,Standard
905,Road Bikes,Yes,Standard
906,Road Bikes,No,Mountain
907,Jerseys,Yes,Standard
908,Road Bikes,No,Touring
909,Road Bikes,No,Road
910,Mountain Bikes,No,Mountain
911,Road Bikes,No,Mountain
912,Road Bikes,No,Mountain
913,Tires,No,Standard
914,Road Bikes,No,Touring
915,Helmets,Yes,Touring
916,Jerseys,No,Road
917,Helmets,Yes,Standard
918,Tires,No,Mountain
919,Helmets,Yes,Standard
920,Road Bikes,No,Standard
921,Mountain Bikes,No,Road
922,Jerseys,No,Mountain
923,Tires,Yes,Standard
924,Road Bikes,Yes,Mountain
925,Mountain Bikes,Yes,Touring
926,Mountain Bikes,No,Road
927,Tires,No,Touring
928,Road Bikes,No,Mountain
929,Road Bikes,No,Mountain
930,Helmets,No,Standard
931,Tires,Yes,Standard
932,Mountain Bikes,No,Standard
933,Jerseys,Yes,Road
934,Road Bikes,Yes,Touring
935,Helmets,No,Standard
936,Road Bikes,No,Standard
937,Jerseys,Yes,Standard
938,Jerseys,Yes,Mountain
939,Helmets,Yes,Touring
940,Mountain Bikes,No,Mountain
941,Jerseys,Yes,Mountain
942,Tires,Yes,Mountain
943,Helmets,No,Mountain
944,Jerseys,Yes,Mountain
945,Helmets,No,Standard
946,Jerseys,No,Standard
947,Jerseys,Yes,Mountain
948,Helmets,Yes,Road
949,Helmets,No,Touring
950,Road Bikes,Yes,Standard
951,Jerseys,Yes,Mountain
952,Road Bikes,No,Road
953,Helmets,No,Road
954,Jerseys,Yes,Touring
955,Helmets,Yes,Road
956,Road Bikes,Yes,Touring
957,Helmets,No,Mountain
958,Helmets,Yes,Touring
959,Tires,No,Road
960,Helmets,No,Standard
961,Jerseys,Yes,Mountain
962,Mountain Bikes,No,Touring
963,Mountain Bikes,Yes,Mountain
964,Road Bikes,No,Mountain
965,Jerseys,No,Standard
966,Mountain Bikes,No,Standard
967,Tires,Yes,Touring
968,Road Bikes,Yes,Standard
969,Helmets,No,Touring
970,Road Bikes,Yes,Standard
971,Helmets,Yes,Standard
972,Jerseys,Yes,Road
973,Jerseys,No,Mountain
974,Road Bikes,No,Standard
975,Helmets,No,Road
976,Jerseys,Yes,Touring
977,Tires,No,Touring
978,Jerseys,No,Standard
979,Tires,No,Road
980,Mountain Bikes,No,Standard
981,Mountain Bikes,No,Mountain
982,Mountain Bikes,Yes,Touring
983,Road Bikes,Yes,Standard
984,Helmets,No,Standard
985,Tires,Yes,Road
986,Jerseys,No,Mountain
987,Tires,Yes,Standard
988,Mountain Bikes,No,Mountain
989,Jerseys,No,Touring
990,Mountain Bikes,No,Touring
991,Jerseys,Yes,Road
992,Mountain Bikes,Yes,Standard
993,Helmets,No,Mountain
994,Helmets,No,Mountain
995,Tires,No,Mountain
996,Jerseys,No,Mountain
997,Helmets,No,Mountain
998,Road Bikes,Yes,Road
999,Helmets,No,Mountain
1000,Mountain Bikes,Yes,Road
1001,Road Bikes,Yes,Road
1002,Jerseys,No,Standard
1003,Road Bikes,Yes,Road
1004,Helmets,No,Road
1005,Mountain Bikes,Yes,Touring
1006,Mountain Bikes,No,Standard
1007,Mountain Bikes,Yes,Mountain
1008,Jerseys,Yes,Mountain
1009,Jerseys,Yes,Mountain
1010,Jerseys,Yes,Mountain
1011,Jerseys,Yes,Touring
1012,Tires,Yes,Standard
1013,Mountain Bikes,Yes,Road
1014,Jerseys,No,Standard
1015,Tires,Yes,Touring
1016,Mountain Bikes,Yes,Touring
1017,Tires,Yes,Standard
1018,Mountain Bikes,No,Standard
1019,Road Bikes,No,Road
1020,Helmets,Yes,Touring
1021,Mountain Bikes,Yes,Standard
1022,Road Bikes,Yes,Touring
1023,Road Bikes,No,Road
1024,Tires,No,Road
1025,Jerseys,No,Mountain
1026,Road Bikes,Yes,Touring
1027,Road Bikes,Yes,Standard
1028,Jerseys,No,Mountain
1029,Tires,Yes,Mountain
1030,Jerseys,Yes,Road
1031,Helmets,No,Standard
1032,Tires,Yes,Standard
1033,Helmets,No,Road
1034,Road Bikes,Yes,Mountain
1035,Mountain Bikes,Yes,Mountain
1036,Road Bikes,Yes,Road
1037,Tires,Yes,Road
1038,Road Bikes,No,Standard
1039,Helmets,Yes,Road
1040,Jerseys,Yes,Mountain
1041,Road Bikes,No,Road
1042,Jerseys,No,Standard
1043,Helmets,Yes,Standard
1044,Mountain Bikes,Yes,Standard
1045,Road Bikes,No,Road
1046,Tires,Yes,Road
1047,Jerseys,No,Road
1048,Tires,Yes,Touring
1049,Road Bikes,Yes,Touring
1050,Helmets,Yes,Standard
1051,Mountain Bikes,No,Touring
1052,Road Bikes,Yes,Mountain
1053,Helmets,No,Road
1054,Helmets,Yes,Mountain
1055,Helmets,No,Mountain
1056,Jerseys,Yes,Mountain
1057,Road Bikes,No,Standard
1058,Road Bikes,Yes,Standard
1059,Helmets,Yes,Touring
1060,Tires,Yes,Road
1061,Tires,Yes,Touring
1062,Jerseys,No,Mountain
1063,Helmets,No,Touring
1064,Tires,Yes,Mountain
1065,Helmets,Yes,Mountain
1066,Jerseys,Yes,Touring
1067,Helmets,Yes,Mountain
1068,Helmets,Yes,Standard
1069,Road Bikes,Yes,Road
1070,Helmets,No,Touring
1071,Road Bikes,Yes,Standard
1072,Mountain Bikes,No,Road
1073,Tires,Yes,Mountain
1074,Tires,Yes,Mountain
1075,Road Bikes,Yes,Road
1076,Road Bikes,No,Standard
1077,Tires,Yes,Road
1078,Helmets,No,Mountain
1079,Mountain Bikes,No,Road
1080,Road Bikes,Yes,Standard
1081,Jerseys,Yes,Mountain
1082,Mountain Bikes,Yes,Road
1083,Mountain Bikes,No,Touring
1084,Jerseys,Yes,Road
1085,Jerseys,No,Touring
1086,Helmets,No,Standard
1087,Jerseys,No,Road
1088,Road Bikes,Yes,Standard
1089,Mountain Bikes,Yes,Standard
1090,Tires,No,Mountain
1091,Helmets,No,Mountain
1092,Road Bikes,No,Mountain
1093,Mountain Bikes,No,Standard
1094,Jerseys,Yes,Standard
1095,Mountain Bikes,Yes,Road
1096,Jerseys,Yes,Road
1097,Jerseys,No,Standard
1098,Helmets,No,Mountain
1099,Helmets,Yes,Road
1100,Mountain Bikes,Yes,Mountain
1101,Jerseys,Yes,Road
1102,Tires,Yes,Touring
1103,Jerseys,No,Touring
1104,Mountain Bikes,No,Road
1105,Jerseys,Yes,Touring
1106,Jerseys,No,Road
1107,Tires,Yes,Road
1108,Jerseys,Yes,Mountain
1109,Helmets,Yes,Road
1110,Helmets,No,Mountain
1111,Jerseys,No,Standard
1112,Helmets,Yes,Road
1113,Tires,Yes,Mountain
1114,Tires,Yes,Mountain
1115,Tires,Yes,Touring
1116,Tires,Yes,Standard
1117,Jerseys,Yes,Mountain
1118,Tires,Yes,Mountain
1119,Helmets,Yes,Standard
1120,Tires,Yes,Standard
1121,Road Bikes,No,Standard
1122,Mountain Bikes,No,Road
1123,Helmets,Yes,Touring
1124,Road Bikes,Yes,Mountain
1125,Tires,Yes,Standard
1126,Helmets,Yes,Standard
1127,Helmets,No,Mountain
1128,Jerseys,Yes,Road
1129,Jerseys,No,Mountain
1130,Helmets,Yes,Standard
1131,Road Bikes,No,Touring
1132,Tires,Yes,Road
1133,Road Bikes,Yes,Mountain
1134,Tires,No,Touring
1135,Jerseys,Yes,Touring
1136,Tires,No,Standard
1137,Tires,No,Mountain
1138,Mountain Bikes,No,Mountain
1139,Tires,No,Road
1140,Helmets,No,Touring
1141,Jerseys,No,Mountain
1142,Helmets,No,Standard
1143,Jerseys,Yes,Standard
1144,Helmets,Yes,Standard
1145,Road Bikes,Yes,Standard
1146,Jerseys,Yes,Standard
1147,Tires,Yes,Road
1148,Mountain Bikes,No,Standard
1149,Helmets,Yes,Road
1150,Tires,Yes,Standard
1151,Jerseys,Yes,Standard
1152,Road Bikes,No,Mountain
1153,Jerseys,Yes,Mountain
1154,Tires,Yes,Road
1155,Road Bikes,Yes,Standard
1156,Road Bikes,No,Road
1157,Road Bikes,No,Standard
1158,Helmets,No,Road
1159,Helmets,Yes,Standard
1160,Road Bikes,No,Touring
1161,Mountain Bikes,Yes,Road
1162,Jerseys,No,Touring
1163,Mountain Bikes,No,Road
1164,Road Bikes,No,Mountain
1165,Tires,Yes,Standard
1166,Tires,Yes,Touring
1167,Mountain Bikes,Yes,Touring
1168,Jerseys,Yes,Standard
1169,Road Bikes,No,Touring
1170,Jerseys,Yes,Touring
1171,Helmets,Yes,Road
1172,Road Bikes,No,Standard
1173,Mountain Bikes,Yes,Road
1174,Jerseys,No,Standard
1175,Road Bikes,No,Touring
1176,Road Bikes,Yes,Mountain
1177,Road Bikes,Yes,Road
1178,Helmets,Yes,Standard
1179,Tires,Yes,Touring
1180,Tires,No,Mountain
1181,Jerseys,Yes,Touring
1182,Mountain Bikes,Yes,Mountain
1183,Mountain Bikes,Yes,Touring
1184,Helmets,No,Road
1185,Road Bikes,Yes,Standard
1186,Tires,No,Touring
1187,Helmets,Yes,Standard
1188,Jerseys,Yes,Mountain
1189,Mountain Bikes,No,Road
1190,Jerseys,Yes,Touring
1191,Jerseys,Yes,Mountain
1192,Jerseys,Yes,Touring
1193,Helmets,Yes,Standard
1194,Tires,No,Road
1195,Road Bikes,Yes,Road
1196,Jerseys,No,Road
1197,Tires,Yes,Touring
1198,Road Bikes,Yes,Standard
1199,Helmets,Yes,Touring
1200,Mountain Bikes,Yes,Mountain
1201,Mountain Bikes,Yes,Touring
1202,Tires,No,Standard
1203,Helmets,No,Touring
1204,Jerseys,No,Mountain
1205,Jerseys,Yes,Mountain
1206,Road Bikes,No,Touring
1207,Jerseys,No,Standard
1208,Road Bikes,Yes,Touring
1209,Jerseys,Yes,Road
1210,Jerseys,Yes,Road
1211,Helmets,Yes,Road
1212,Tires,No,Mountain
1213,Road Bikes,No,Road
1214,Helmets,Yes,Mountain
1215,Tires,Yes,Standard
1216,Helmets,Yes,Road
1217,Tires,Yes,Mountain
1218,Road Bikes,No,Touring
1219,Mountain Bikes,Yes,Touring
1220,Helmets,Yes,Standard
1221,Helmets,Yes,Standard
1222,Mountain Bikes,Yes,Mountain
1223,Helmets,No,Road
1224,Helmets,Yes,Road
1225,Tires,No,Touring
1226,Helmets,No,Road
1227,Tires,Yes,Standard
1228,Road Bikes,Yes,Touring
1229,Road Bikes,Yes,Standard
1230,Tires,Yes,Touring
1231,Road Bikes,No,Road
1232,Road Bikes,Yes,Mountain
1233,Jerseys,No,Mountain
1234,Helmets,No,Standard
1235,Jerseys,Yes,Mountain
1236,Mountain Bikes,Yes,Road
1237,Helmets,No,Standard
1238,Jerseys,Yes,Mountain
1239,Road Bikes,Yes,Mountain
1240,Mountain Bikes,Yes,Mountain
1241,Road Bikes,Yes,Touring
1242,Road Bikes,No,Mountain
1243,Road Bikes,No,Road
1244,Road Bikes,No,Touring
1245,Helmets,Yes,Standard
1246,Tires,Yes,Mountain
1247,Helmets,No,Mountain
1248,Helmets,No,Touring
1249,Jerseys,Yes,Touring
1250,Mountain Bikes,No,Road
1251,Mountain Bikes,No,Touring
1252,Road Bikes,No,Mountain
1253,Mountain Bikes,No,Mountain
1254,Mountain Bikes,No,Standard
1255,Jerseys,Yes,Touring
1256,Helmets,Yes,Touring
1257,Tires,No,Standard
1258,Mountain Bikes,Yes,Mountain
1259,Helmets,No,Standard
1260,Helmets,No,Mountain
1261,Helmets,No,Touring
1262,Road Bikes,Yes,Standard
1263,Tires,Yes,Touring
1264,Road Bikes,Yes,Road
1265,Road Bikes,No,Road
1266,Tires,Yes,Touring
1267,Helmets,No,Touring
1268,Jerseys,No,Mountain
1269,Mountain Bikes,No,Touring
1270,Jerseys,No,Road
1271,Mountain Bikes,No,Mountain
1272,Helmets,Yes,Road
1273,Mountain Bikes,Yes,Mountain
1274,Road Bikes,Yes,Road
1275,Road Bikes,Yes,Standard
1276,Jerseys,No,Standard
1277,Jerseys,Yes,Road
1278,Helmets,Yes,Road
1279,Mountain Bikes,No,Mountain
1280,Tires,Yes,Road
1281,Road Bikes,Yes,Mountain
1282,Tires,Yes,Touring
1283,Mountain Bikes,No,Standard
1284,Jerseys,Yes,Road
1285,Mountain Bikes,No,Mountain
1286,Road Bikes,Yes,Touring
1287,Mountain Bikes,Yes,Road
1288,Road Bikes,No,Standard
1289,Mountain Bikes,Yes,Road
1290,Road Bikes,Yes,Road
1291,Mountain Bikes,No,Touring
1292,Road Bikes,Yes,Standard
1293,Tires,No,Road
1294,Helmets,Yes,Road
1295,Mountain Bikes,No,Road
1296,Jerseys,Yes,Mountain
1297,Tires,Yes,Touring
1298,Tires,No,Road
1299,Tires,No,Standard
1300,Mountain Bikes,No,Road
1301,Mountain Bikes,Yes,Road
1302,Jerseys,No,Standard
1303,Tires,No,Standard
1304,Helmets,No,Mountain
1305,Jerseys,No,Standard
1306,Road Bikes,Yes,Mountain
1307,Helmets,Yes,Mountain
1308,Tires,Yes,Touring
1309,Tires,Yes,Mountain
1310,Tires,Yes,Mountain
1311,Jerseys,No,Road
1312,Tires,Yes,Touring
1313,Road Bikes,No,Mountain
1314,Tires,No,Touring
1315,Tires,No,Mountain
1316,Tires,No,Mountain
1317,Jerseys,No,Standard
1318,Helmets,No,Touring
1319,Mountain Bikes,Yes,Road
1320,Mountain Bikes,No,Road
1321,Road Bikes,No,Standard
1322,Tires,No,Standard
1323,Jerseys,Yes,Touring
1324,Road Bikes,No,Mountain
1325,Mountain Bikes,No,Mountain
1326,Mountain Bikes,Yes,Mountain
1327,Jerseys,No,Road
1328,Jerseys,No,Touring
1329,Tires,No,Mountain
1330,Road Bikes,Yes,Touring
1331,Mountain Bikes,No,Mountain
1332,Tires,Yes,Mountain
1333,Jerseys,Yes,Standard
1334,Road Bikes,Yes,Standard
1335,Tires,No,Road
1336,Helmets,Yes,Mountain
1337,Mountain Bikes,No,Road
1338,Tires,Yes,Standard
1339,Tires,No,Standard
1340,Jerseys,Yes,Standard
1341,Jerseys,No,Standard
1342,Mountain Bikes,Yes,Touring
1343,Road Bikes,Yes,Mountain
1344,Tires,No,Road
1345,Tires,No,Road
1346,Tires,No,Standard
1347,Mountain Bikes,Yes,Road
1348,Jerseys,No,Mountain
1349,Road Bikes,No,Road
1350,Jerseys,No,Road
1351,Mountain Bikes,Yes,Touring
1352,Road Bikes,Yes,Touring
1353,Road Bikes,Yes,Standard
1354,Road Bikes,No,Standard
1355,Mountain Bikes,No,Touring
1356,Jerseys,Yes,Road
1357,Helmets,Yes,Road
1358,Road Bikes,No,Touring
1359,Tires,No,Mountain
1360,Mountain Bikes,Yes,Mountain
1361,Road Bikes,No,Standard
1362,Helmets,Yes,Mountain
1363,Jerseys,No,Touring
1364,Jerseys,Yes,Road
1365,Helmets,No,Mountain
1366,Helmets,Yes,Touring
1367,Tires,Yes,Touring
1368,Road Bikes,Yes,Standard
1369,Jerseys,No,Road
1370,Tires,Yes,Road
1371,Jerseys,No,Road
1372,Helmets,No,Touring
1373,Road Bikes,No,Mountain
1374,Jerseys,No,Mountain
1375,Tires,Yes,Road
1376,Jerseys,No,Touring
1377,Helmets,Yes,Road
1378,Tires,No,Mountain
1379,Jerseys,Yes,Mountain
1380,Mountain Bikes,No,Road
1381,Road Bikes,No,Standard
1382,Tires,No,Standard
1383,Helmets,No,Road
1384,Road Bikes,Yes,Standard
1385,Helmets,No,Mountain
1386,Jerseys,No,Mountain
1387,Mountain Bikes,Yes,Mountain
1388,Tires,No,Touring
1389,Tires,No,Mountain
1390,Helmets,No,Road
